# PROD 05 (5,5) b2=0 branch: F_p census of the OPEN locus (prod05_fpcensus.c)
# open = K,b1,b0,disc(U),Res(B,U),disc(f) all nonzero; residuals E0..E4 = 0
# p=3 empty (prior note results/z5x5_b2zero_count_p*.log)
p=7 total_open_offboundary=12 (raw counter 12 counts open only)
p=11 total_open_offboundary=240 (raw counter 240 counts open only)
p=13 total_open_offboundary=96 (raw counter 96 counts open only)
p=17 total_open_offboundary=160 (raw counter 160 counts open only)
p=19 total_open_offboundary=0 (raw counter 0 counts open only)
p=23 total_open_offboundary=264 (raw counter 264 counts open only)

# h1=1-fiber open counts: p=7:2, 11:24, 13:8, 17:8, 19:0, 23:12

# full point lists:
pt p=11 h1=3 h2=6 K=4 s=9 t=6 b0=7 b1=9
pt p=11 h1=3 h2=7 K=7 s=2 t=7 b0=7 b1=3
pt p=11 h1=3 h2=7 K=7 s=2 t=7 b0=4 b1=8
pt p=11 h1=3 h2=8 K=5 s=1 t=7 b0=10 b1=5
pt p=11 h1=3 h2=8 K=5 s=1 t=7 b0=1 b1=6
pt p=11 h1=3 h2=9 K=4 s=1 t=10 b0=9 b1=3
pt p=11 h1=3 h2=9 K=4 s=1 t=10 b0=2 b1=8
pt p=11 h1=3 h2=9 K=8 s=3 t=1 b0=6 b1=5
pt p=11 h1=3 h2=9 K=8 s=3 t=1 b0=5 b1=6
pt p=11 h1=4 h2=0 K=7 s=4 t=2 b0=2 b1=5
pt p=11 h1=4 h2=0 K=7 s=4 t=2 b0=9 b1=6
pt p=11 h1=4 h2=1 K=3 s=2 t=2 b0=7 b1=4
pt p=11 h1=4 h2=1 K=3 s=2 t=2 b0=4 b1=7
pt p=11 h1=4 h2=2 K=5 s=9 t=6 b0=10 b1=3
pt p=11 h1=4 h2=2 K=5 s=9 t=6 b0=1 b1=8
pt p=11 h1=4 h2=3 K=8 s=3 t=3 b0=2 b1=2
pt p=11 h1=4 h2=3 K=8 s=3 t=3 b0=9 b1=9
pt p=11 h1=4 h2=4 K=9 s=2 t=7 b0=9 b1=5
pt p=11 h1=4 h2=4 K=9 s=2 t=7 b0=2 b1=6
pt p=11 h1=4 h2=5 K=4 s=9 t=7 b0=9 b1=4
pt p=11 h1=4 h2=5 K=4 s=9 t=7 b0=2 b1=7
pt p=11 h1=4 h2=6 K=2 s=7 t=10 b0=2 b1=4
pt p=11 h1=4 h2=6 K=2 s=7 t=10 b0=9 b1=7
pt p=11 h1=4 h2=5 K=8 s=5 t=4 b0=6 b1=3
pt p=11 h1=4 h2=5 K=8 s=5 t=4 b0=5 b1=8
pt p=11 h1=4 h2=6 K=6 s=0 t=10 b0=4 b1=2
pt p=11 h1=4 h2=6 K=6 s=0 t=10 b0=7 b1=9
pt p=11 h1=4 h2=7 K=4 s=4 t=2 b0=7 b1=1
pt p=11 h1=4 h2=7 K=4 s=4 t=2 b0=4 b1=10
pt p=11 h1=4 h2=9 K=9 s=10 t=4 b0=6 b1=2
pt p=11 h1=4 h2=9 K=9 s=10 t=4 b0=5 b1=9
pt p=11 h1=4 h2=10 K=7 s=7 t=6 b0=7 b1=4
pt p=11 h1=4 h2=10 K=7 s=7 t=6 b0=4 b1=7
pt p=11 h1=5 h2=0 K=7 s=1 t=7 b0=9 b1=2
pt p=11 h1=5 h2=0 K=7 s=1 t=7 b0=2 b1=9
pt p=11 h1=5 h2=2 K=4 s=1 t=7 b0=7 b1=4
pt p=11 h1=5 h2=2 K=4 s=1 t=7 b0=4 b1=7
pt p=11 h1=5 h2=1 K=9 s=8 t=3 b0=5 b1=3
pt p=11 h1=5 h2=1 K=9 s=8 t=3 b0=6 b1=8
pt p=11 h1=5 h2=3 K=4 s=5 t=8 b0=9 b1=5
pt p=11 h1=5 h2=3 K=4 s=5 t=8 b0=2 b1=6
pt p=11 h1=5 h2=3 K=8 s=4 t=3 b0=6 b1=1
pt p=11 h1=5 h2=3 K=8 s=4 t=3 b0=5 b1=10
pt p=11 h1=5 h2=4 K=8 s=9 t=5 b0=9 b1=3
pt p=11 h1=5 h2=4 K=8 s=9 t=5 b0=2 b1=8
pt p=11 h1=5 h2=5 K=3 s=6 t=7 b0=7 b1=5
pt p=11 h1=5 h2=5 K=3 s=6 t=7 b0=4 b1=6
pt p=11 h1=5 h2=6 K=7 s=10 t=10 b0=7 b1=5
pt p=11 h1=5 h2=6 K=7 s=10 t=10 b0=4 b1=6
pt p=11 h1=5 h2=8 K=2 s=10 t=2 b0=2 b1=5
pt p=11 h1=5 h2=8 K=2 s=10 t=2 b0=9 b1=6
pt p=11 h1=5 h2=8 K=6 s=0 t=2 b0=7 b1=3
pt p=11 h1=5 h2=8 K=6 s=0 t=2 b0=4 b1=8
pt p=11 h1=5 h2=9 K=9 s=6 t=8 b0=2 b1=2
pt p=11 h1=5 h2=9 K=9 s=6 t=8 b0=9 b1=9
pt p=11 h1=5 h2=10 K=5 s=5 t=10 b0=10 b1=1
pt p=11 h1=5 h2=10 K=5 s=5 t=10 b0=1 b1=10
pt p=11 h1=6 h2=0 K=4 s=10 t=7 b0=2 b1=2
pt p=11 h1=6 h2=0 K=4 s=10 t=7 b0=9 b1=9
pt p=11 h1=6 h2=1 K=2 s=3 t=3 b0=6 b1=3
pt p=11 h1=6 h2=1 K=2 s=3 t=3 b0=5 b1=8
pt p=11 h1=6 h2=2 K=7 s=10 t=7 b0=4 b1=4
pt p=11 h1=6 h2=2 K=7 s=10 t=7 b0=7 b1=7
pt p=11 h1=6 h2=3 K=3 s=7 t=3 b0=5 b1=1
pt p=11 h1=6 h2=3 K=3 s=7 t=3 b0=6 b1=10
pt p=11 h1=6 h2=4 K=3 s=2 t=5 b0=2 b1=3
pt p=11 h1=6 h2=4 K=3 s=2 t=5 b0=9 b1=8
pt p=11 h1=6 h2=3 K=7 s=6 t=8 b0=2 b1=5
pt p=11 h1=6 h2=3 K=7 s=6 t=8 b0=9 b1=6
pt p=11 h1=6 h2=5 K=8 s=5 t=7 b0=4 b1=5
pt p=11 h1=6 h2=5 K=8 s=5 t=7 b0=7 b1=6
pt p=11 h1=6 h2=6 K=4 s=1 t=10 b0=4 b1=5
pt p=11 h1=6 h2=6 K=4 s=1 t=10 b0=7 b1=6
pt p=11 h1=6 h2=8 K=5 s=0 t=2 b0=4 b1=3
pt p=11 h1=6 h2=8 K=5 s=0 t=2 b0=7 b1=8
pt p=11 h1=6 h2=9 K=2 s=5 t=8 b0=9 b1=2
pt p=11 h1=6 h2=9 K=2 s=5 t=8 b0=2 b1=9
pt p=11 h1=6 h2=8 K=9 s=1 t=2 b0=9 b1=5
pt p=11 h1=6 h2=8 K=9 s=1 t=2 b0=2 b1=6
pt p=11 h1=6 h2=10 K=6 s=6 t=10 b0=1 b1=1
pt p=11 h1=6 h2=10 K=6 s=6 t=10 b0=10 b1=10
pt p=11 h1=7 h2=0 K=4 s=7 t=2 b0=9 b1=5
pt p=11 h1=7 h2=0 K=4 s=7 t=2 b0=2 b1=6
pt p=11 h1=7 h2=1 K=8 s=9 t=2 b0=4 b1=4
pt p=11 h1=7 h2=1 K=8 s=9 t=2 b0=7 b1=7
pt p=11 h1=7 h2=2 K=6 s=2 t=6 b0=1 b1=3
pt p=11 h1=7 h2=2 K=6 s=2 t=6 b0=10 b1=8
pt p=11 h1=7 h2=3 K=3 s=8 t=3 b0=9 b1=2
pt p=11 h1=7 h2=3 K=3 s=8 t=3 b0=2 b1=9
pt p=11 h1=7 h2=4 K=2 s=9 t=7 b0=2 b1=5
pt p=11 h1=7 h2=4 K=2 s=9 t=7 b0=9 b1=6
pt p=11 h1=7 h2=5 K=3 s=6 t=4 b0=5 b1=3
pt p=11 h1=7 h2=5 K=3 s=6 t=4 b0=6 b1=8
pt p=11 h1=7 h2=5 K=7 s=2 t=7 b0=2 b1=4
pt p=11 h1=7 h2=5 K=7 s=2 t=7 b0=9 b1=7
pt p=11 h1=7 h2=6 K=5 s=0 t=10 b0=7 b1=2
pt p=11 h1=7 h2=6 K=5 s=0 t=10 b0=4 b1=9
pt p=11 h1=7 h2=6 K=9 s=4 t=10 b0=9 b1=4
pt p=11 h1=7 h2=6 K=9 s=4 t=10 b0=2 b1=7
pt p=11 h1=7 h2=7 K=7 s=7 t=2 b0=4 b1=1
pt p=11 h1=7 h2=7 K=7 s=7 t=2 b0=7 b1=10
pt p=11 h1=7 h2=9 K=2 s=1 t=4 b0=5 b1=2
pt p=11 h1=7 h2=9 K=2 s=1 t=4 b0=6 b1=9
pt p=11 h1=7 h2=10 K=4 s=4 t=6 b0=4 b1=4
pt p=11 h1=7 h2=10 K=4 s=4 t=6 b0=7 b1=7
pt p=11 h1=8 h2=0 K=4 s=2 t=6 b0=9 b1=1
pt p=11 h1=8 h2=0 K=4 s=2 t=6 b0=2 b1=10
pt p=11 h1=8 h2=1 K=3 s=7 t=9 b0=2 b1=4
pt p=11 h1=8 h2=1 K=3 s=7 t=9 b0=9 b1=7
pt p=11 h1=8 h2=2 K=5 s=0 t=8 b0=4 b1=4
pt p=11 h1=8 h2=2 K=5 s=0 t=8 b0=7 b1=7
pt p=11 h1=8 h2=3 K=2 s=5 t=1 b0=6 b1=4
pt p=11 h1=8 h2=3 K=2 s=5 t=1 b0=5 b1=7
pt p=11 h1=8 h2=2 K=9 s=9 t=8 b0=9 b1=3
pt p=11 h1=8 h2=2 K=9 s=9 t=8 b0=2 b1=8
pt p=11 h1=8 h2=4 K=8 s=1 t=6 b0=4 b1=3
pt p=11 h1=8 h2=4 K=8 s=1 t=6 b0=7 b1=8
pt p=11 h1=8 h2=5 K=2 s=1 t=10 b0=2 b1=1
pt p=11 h1=8 h2=5 K=2 s=1 t=10 b0=9 b1=10
pt p=11 h1=8 h2=6 K=7 s=2 t=6 b0=7 b1=2
pt p=11 h1=8 h2=6 K=7 s=2 t=6 b0=4 b1=9
pt p=11 h1=8 h2=7 K=4 s=9 t=7 b0=4 b1=3
pt p=11 h1=8 h2=7 K=4 s=9 t=7 b0=7 b1=8
pt p=11 h1=8 h2=8 K=6 s=10 t=7 b0=1 b1=5
pt p=11 h1=8 h2=8 K=6 s=10 t=7 b0=10 b1=6
pt p=11 h1=8 h2=9 K=3 s=8 t=1 b0=5 b1=5
pt p=11 h1=8 h2=9 K=3 s=8 t=1 b0=6 b1=6
pt p=11 h1=8 h2=9 K=7 s=10 t=10 b0=2 b1=3
pt p=11 h1=8 h2=9 K=7 s=10 t=10 b0=9 b1=8
pt p=11 h1=9 h2=0 K=7 s=3 t=8 b0=2 b1=3
pt p=11 h1=9 h2=0 K=7 s=3 t=8 b0=9 b1=8
pt p=11 h1=9 h2=1 K=9 s=7 t=6 b0=9 b1=3
pt p=11 h1=9 h2=1 K=9 s=7 t=6 b0=2 b1=8
pt p=11 h1=9 h2=3 K=3 s=7 t=8 b0=4 b1=2
pt p=11 h1=9 h2=3 K=3 s=7 t=8 b0=7 b1=9
pt p=11 h1=9 h2=4 K=4 s=4 t=6 b0=2 b1=2
pt p=11 h1=9 h2=4 K=4 s=4 t=6 b0=9 b1=9
pt p=11 h1=9 h2=4 K=8 s=1 t=5 b0=6 b1=4
pt p=11 h1=9 h2=4 K=8 s=1 t=5 b0=5 b1=7
pt p=11 h1=9 h2=5 K=9 s=2 t=5 b0=5 b1=1
pt p=11 h1=9 h2=5 K=9 s=2 t=5 b0=6 b1=10
pt p=11 h1=9 h2=7 K=2 s=8 t=7 b0=9 b1=2
pt p=11 h1=9 h2=7 K=2 s=8 t=7 b0=2 b1=9
pt p=11 h1=9 h2=6 K=5 s=4 t=2 b0=10 b1=4
pt p=11 h1=9 h2=6 K=5 s=4 t=2 b0=1 b1=7
pt p=11 h1=9 h2=7 K=6 s=0 t=7 b0=7 b1=1
pt p=11 h1=9 h2=7 K=6 s=0 t=7 b0=4 b1=10
pt p=11 h1=9 h2=8 K=7 s=8 t=2 b0=4 b1=2
pt p=11 h1=9 h2=8 K=7 s=8 t=2 b0=7 b1=9
pt p=11 h1=9 h2=9 K=8 s=5 t=1 b0=9 b1=1
pt p=11 h1=9 h2=9 K=8 s=5 t=1 b0=2 b1=10
pt p=11 h1=9 h2=10 K=4 s=3 t=8 b0=7 b1=5
pt p=11 h1=9 h2=10 K=4 s=3 t=8 b0=4 b1=6
pt p=11 h1=10 h2=0 K=4 s=6 t=10 b0=9 b1=4
pt p=11 h1=10 h2=0 K=4 s=6 t=10 b0=2 b1=7
pt p=11 h1=10 h2=1 K=3 s=2 t=9 b0=6 b1=2
pt p=11 h1=10 h2=1 K=3 s=2 t=9 b0=5 b1=9
pt p=11 h1=10 h2=1 K=7 s=8 t=2 b0=2 b1=1
pt p=11 h1=10 h2=1 K=7 s=8 t=2 b0=9 b1=10
pt p=11 h1=10 h2=2 K=4 s=5 t=8 b0=4 b1=1
pt p=11 h1=10 h2=2 K=4 s=5 t=8 b0=7 b1=10
pt p=11 h1=10 h2=3 K=2 s=3 t=2 b0=2 b1=4
pt p=11 h1=10 h2=3 K=2 s=3 t=2 b0=9 b1=7
pt p=11 h1=10 h2=4 K=2 s=4 t=9 b0=6 b1=5
pt p=11 h1=10 h2=4 K=2 s=4 t=9 b0=5 b1=6
pt p=11 h1=10 h2=5 K=3 s=10 t=4 b0=2 b1=5
pt p=11 h1=10 h2=5 K=3 s=10 t=4 b0=9 b1=6
pt p=11 h1=10 h2=7 K=6 s=8 t=8 b0=10 b1=2
pt p=11 h1=10 h2=7 K=6 s=8 t=8 b0=1 b1=9
pt p=11 h1=10 h2=8 K=7 s=6 t=10 b0=4 b1=3
pt p=11 h1=10 h2=8 K=7 s=6 t=10 b0=7 b1=8
pt p=11 h1=10 h2=9 K=8 s=3 t=10 b0=4 b1=1
pt p=11 h1=10 h2=9 K=8 s=3 t=10 b0=7 b1=10
pt p=11 h1=10 h2=10 K=5 s=0 t=6 b0=4 b1=5
pt p=11 h1=10 h2=10 K=5 s=0 t=6 b0=7 b1=6
pt p=11 h1=10 h2=10 K=9 s=5 t=6 b0=9 b1=1
pt p=11 h1=10 h2=10 K=9 s=5 t=6 b0=2 b1=10
pt p=13 h1=1 h2=4 K=5 s=2 t=12 b0=12 b1=6
pt p=13 h1=1 h2=4 K=5 s=2 t=12 b0=1 b1=7
pt p=13 h1=1 h2=3 K=8 s=3 t=11 b0=10 b1=5
pt p=13 h1=1 h2=3 K=8 s=3 t=11 b0=3 b1=8
pt p=13 h1=1 h2=6 K=11 s=2 t=6 b0=7 b1=3
pt p=13 h1=1 h2=6 K=11 s=2 t=6 b0=6 b1=10
pt p=13 h1=1 h2=9 K=6 s=0 t=5 b0=8 b1=4
pt p=13 h1=1 h2=9 K=6 s=0 t=5 b0=5 b1=9
pt p=13 h1=2 h2=3 K=4 s=1 t=3 b0=2 b1=2
pt p=13 h1=2 h2=3 K=4 s=1 t=3 b0=11 b1=11
pt p=13 h1=2 h2=11 K=1 s=1 t=8 b0=12 b1=1
pt p=13 h1=2 h2=11 K=1 s=1 t=8 b0=1 b1=12
pt p=13 h1=2 h2=10 K=10 s=0 t=11 b0=3 b1=3
pt p=13 h1=2 h2=10 K=10 s=0 t=11 b0=10 b1=10
pt p=13 h1=2 h2=12 K=9 s=8 t=6 b0=6 b1=6
pt p=13 h1=2 h2=12 K=9 s=8 t=6 b0=7 b1=7
pt p=13 h1=3 h2=1 K=7 s=1 t=7 b0=4 b1=6
pt p=13 h1=3 h2=1 K=7 s=1 t=7 b0=9 b1=7
pt p=13 h1=3 h2=2 K=8 s=5 t=5 b0=8 b1=1
pt p=13 h1=3 h2=2 K=8 s=5 t=5 b0=5 b1=12
pt p=13 h1=3 h2=3 K=2 s=0 t=2 b0=2 b1=3
pt p=13 h1=3 h2=3 K=2 s=0 t=2 b0=11 b1=10
pt p=13 h1=3 h2=10 K=6 s=5 t=10 b0=10 b1=2
pt p=13 h1=3 h2=10 K=6 s=5 t=10 b0=3 b1=11
pt p=13 h1=4 h2=1 K=8 s=0 t=6 b0=7 b1=1
pt p=13 h1=4 h2=1 K=8 s=0 t=6 b0=6 b1=12
pt p=13 h1=4 h2=5 K=6 s=7 t=2 b0=11 b1=4
pt p=13 h1=4 h2=5 K=6 s=7 t=2 b0=2 b1=9
pt p=13 h1=4 h2=9 K=2 s=4 t=8 b0=1 b1=2
pt p=13 h1=4 h2=9 K=2 s=4 t=8 b0=12 b1=11
pt p=13 h1=4 h2=12 K=11 s=7 t=4 b0=9 b1=5
pt p=13 h1=4 h2=12 K=11 s=7 t=4 b0=4 b1=8
pt p=13 h1=5 h2=4 K=4 s=0 t=8 b0=12 b1=4
pt p=13 h1=5 h2=4 K=4 s=0 t=8 b0=1 b1=9
pt p=13 h1=5 h2=7 K=3 s=3 t=7 b0=4 b1=3
pt p=13 h1=5 h2=7 K=3 s=3 t=7 b0=9 b1=10
pt p=13 h1=5 h2=10 K=1 s=11 t=2 b0=2 b1=5
pt p=13 h1=5 h2=10 K=1 s=11 t=2 b0=11 b1=8
pt p=13 h1=5 h2=9 K=12 s=3 t=1 b0=5 b1=6
pt p=13 h1=5 h2=9 K=12 s=3 t=1 b0=8 b1=7
pt p=13 h1=6 h2=1 K=10 s=9 t=9 b0=6 b1=5
pt p=13 h1=6 h2=1 K=10 s=9 t=9 b0=7 b1=8
pt p=13 h1=6 h2=4 K=3 s=7 t=5 b0=5 b1=2
pt p=13 h1=6 h2=4 K=3 s=7 t=5 b0=8 b1=11
pt p=13 h1=6 h2=8 K=9 s=9 t=11 b0=3 b1=4
pt p=13 h1=6 h2=8 K=9 s=9 t=11 b0=10 b1=9
pt p=13 h1=6 h2=12 K=12 s=0 t=7 b0=9 b1=1
pt p=13 h1=6 h2=12 K=12 s=0 t=7 b0=4 b1=12
pt p=13 h1=7 h2=1 K=3 s=4 t=9 b0=7 b1=5
pt p=13 h1=7 h2=1 K=3 s=4 t=9 b0=6 b1=8
pt p=13 h1=7 h2=4 K=10 s=6 t=5 b0=8 b1=2
pt p=13 h1=7 h2=4 K=10 s=6 t=5 b0=5 b1=11
pt p=13 h1=7 h2=8 K=4 s=4 t=11 b0=10 b1=4
pt p=13 h1=7 h2=8 K=4 s=4 t=11 b0=3 b1=9
pt p=13 h1=7 h2=12 K=1 s=0 t=7 b0=4 b1=1
pt p=13 h1=7 h2=12 K=1 s=0 t=7 b0=9 b1=12
pt p=13 h1=8 h2=4 K=9 s=0 t=8 b0=1 b1=4
pt p=13 h1=8 h2=4 K=9 s=0 t=8 b0=12 b1=9
pt p=13 h1=8 h2=7 K=10 s=10 t=7 b0=9 b1=3
pt p=13 h1=8 h2=7 K=10 s=10 t=7 b0=4 b1=10
pt p=13 h1=8 h2=9 K=1 s=10 t=1 b0=8 b1=6
pt p=13 h1=8 h2=9 K=1 s=10 t=1 b0=5 b1=7
pt p=13 h1=8 h2=10 K=12 s=2 t=2 b0=11 b1=5
pt p=13 h1=8 h2=10 K=12 s=2 t=2 b0=2 b1=8
pt p=13 h1=9 h2=1 K=5 s=0 t=6 b0=6 b1=1
pt p=13 h1=9 h2=1 K=5 s=0 t=6 b0=7 b1=12
pt p=13 h1=9 h2=5 K=7 s=6 t=2 b0=2 b1=4
pt p=13 h1=9 h2=5 K=7 s=6 t=2 b0=11 b1=9
pt p=13 h1=9 h2=9 K=11 s=9 t=8 b0=12 b1=2
pt p=13 h1=9 h2=9 K=11 s=9 t=8 b0=1 b1=11
pt p=13 h1=9 h2=12 K=2 s=6 t=4 b0=4 b1=5
pt p=13 h1=9 h2=12 K=2 s=6 t=4 b0=9 b1=8
pt p=13 h1=10 h2=1 K=6 s=12 t=7 b0=9 b1=6
pt p=13 h1=10 h2=1 K=6 s=12 t=7 b0=4 b1=7
pt p=13 h1=10 h2=2 K=5 s=8 t=5 b0=5 b1=1
pt p=13 h1=10 h2=2 K=5 s=8 t=5 b0=8 b1=12
pt p=13 h1=10 h2=3 K=11 s=0 t=2 b0=11 b1=3
pt p=13 h1=10 h2=3 K=11 s=0 t=2 b0=2 b1=10
pt p=13 h1=10 h2=10 K=7 s=8 t=10 b0=3 b1=2
pt p=13 h1=10 h2=10 K=7 s=8 t=10 b0=10 b1=11
pt p=13 h1=11 h2=3 K=9 s=12 t=3 b0=11 b1=2
pt p=13 h1=11 h2=3 K=9 s=12 t=3 b0=2 b1=11
pt p=13 h1=11 h2=10 K=3 s=0 t=11 b0=10 b1=3
pt p=13 h1=11 h2=10 K=3 s=0 t=11 b0=3 b1=10
pt p=13 h1=11 h2=12 K=4 s=5 t=6 b0=7 b1=6
pt p=13 h1=11 h2=12 K=4 s=5 t=6 b0=6 b1=7
pt p=13 h1=11 h2=11 K=12 s=12 t=8 b0=1 b1=1
pt p=13 h1=11 h2=11 K=12 s=12 t=8 b0=12 b1=12
pt p=13 h1=12 h2=3 K=5 s=10 t=11 b0=3 b1=5
pt p=13 h1=12 h2=3 K=5 s=10 t=11 b0=10 b1=8
pt p=13 h1=12 h2=4 K=8 s=11 t=12 b0=1 b1=6
pt p=13 h1=12 h2=4 K=8 s=11 t=12 b0=12 b1=7
pt p=13 h1=12 h2=6 K=2 s=11 t=6 b0=6 b1=3
pt p=13 h1=12 h2=6 K=2 s=11 t=6 b0=7 b1=10
pt p=13 h1=12 h2=9 K=7 s=0 t=5 b0=5 b1=4
pt p=13 h1=12 h2=9 K=7 s=0 t=5 b0=8 b1=9
pt p=17 h1=0 h2=3 K=7 s=3 t=10 b0=10 b1=4
pt p=17 h1=0 h2=3 K=7 s=3 t=10 b0=7 b1=13
