Loading "code/blp22_locus_rm_test2.m0"
SELFTEST_PASS (mod-p order-11 points exist on slice 2: 9 found)
PARAM_VALUES 183 (H=12)
PROGRESS fibers=25 hits=0
PROGRESS fibers=50 hits=0
PROGRESS fibers=75 hits=0
PROGRESS fibers=100 hits=0
PROGRESS fibers=125 hits=0
PROGRESS fibers=150 hits=0
PROGRESS fibers=175 hits=0
PROGRESS fibers=200 hits=0
PROGRESS fibers=225 hits=0
PROGRESS fibers=250 hits=0
PROGRESS fibers=275 hits=0
PROGRESS fibers=300 hits=0
PROGRESS fibers=325 hits=0
PROGRESS fibers=350 hits=0
PROGRESS fibers=375 hits=0
PROGRESS fibers=400 hits=0
PROGRESS fibers=425 hits=0
PROGRESS fibers=450 hits=0
PROGRESS fibers=475 hits=0
PROGRESS fibers=500 hits=0
PROGRESS fibers=525 hits=0
PROGRESS fibers=550 hits=0
PROGRESS fibers=575 hits=0
PROGRESS fibers=600 hits=0
PROGRESS fibers=625 hits=0
PROGRESS fibers=650 hits=0
PROGRESS fibers=675 hits=0
PROGRESS fibers=700 hits=0
PROGRESS fibers=725 hits=0
PROGRESS fibers=750 hits=0
PROGRESS fibers=775 hits=0
PROGRESS fibers=800 hits=0
PROGRESS fibers=825 hits=0
PROGRESS fibers=850 hits=0
PROGRESS fibers=875 hits=0
PROGRESS fibers=900 hits=0
PROGRESS fibers=925 hits=0
PROGRESS fibers=950 hits=0
PROGRESS fibers=975 hits=0
PROGRESS fibers=1000 hits=0
PROGRESS fibers=1025 hits=0
PROGRESS fibers=1050 hits=0
PROGRESS fibers=1075 hits=0
PROGRESS fibers=1100 hits=0
PROGRESS fibers=1125 hits=0
PROGRESS fibers=1150 hits=0
PROGRESS fibers=1175 hits=0
PROGRESS fibers=1200 hits=0
PROGRESS fibers=1225 hits=0
PROGRESS fibers=1250 hits=0
PROGRESS fibers=1275 hits=0
PROGRESS fibers=1300 hits=0
PROGRESS fibers=1325 hits=0
PROGRESS fibers=1350 hits=0
PROGRESS fibers=1375 hits=0
PROGRESS fibers=1400 hits=0
PROGRESS fibers=1425 hits=0
PROGRESS fibers=1450 hits=0
PROGRESS fibers=1475 hits=0
PROGRESS fibers=1500 hits=0
PROGRESS fibers=1525 hits=0
PROGRESS fibers=1550 hits=0
PROGRESS fibers=1575 hits=0
PROGRESS fibers=1600 hits=0
PROGRESS fibers=1625 hits=0
PROGRESS fibers=1650 hits=0
PROGRESS fibers=1675 hits=0
PROGRESS fibers=1700 hits=0
PROGRESS fibers=1725 hits=0
PROGRESS fibers=1750 hits=0
PROGRESS fibers=1775 hits=0
PROGRESS fibers=1800 hits=0
PROGRESS fibers=1825 hits=0
PROGRESS fibers=1850 hits=0
PROGRESS fibers=1875 hits=0
PROGRESS fibers=1900 hits=0
PROGRESS fibers=1925 hits=0
PROGRESS fibers=1950 hits=0
PROGRESS fibers=1975 hits=0
PROGRESS fibers=2000 hits=0
PROGRESS fibers=2025 hits=0
PROGRESS fibers=2050 hits=0
PROGRESS fibers=2075 hits=0
PROGRESS fibers=2100 hits=0
PROGRESS fibers=2125 hits=0
PROGRESS fibers=2150 hits=0
FAST_SWEEP_DONE H=12 Part=4/6 fibers=2152 hits=0
