BASE_DONE r=-1/2 s=-4/5 rc=0 hits=0
BASE_DONE r=3/2 s=-5/2 rc=0 hits=0
BASE_DONE r=-1/2 s=-3/5 rc=0 hits=0
BASE_DONE r=3/2 s=5/4 rc=0 hits=0
BASE_DONE r=-1/2 s=5/3 rc=0 hits=0
BASE_DONE r=-1/2 s=5/2 rc=0 hits=0
BASE_DONE r=-3/2 s=5/1 rc=0 hits=0
BASE_DONE r=-1/2 s=-5/4 rc=0 hits=0
BASE_DONE r=-1/2 s=-5/3 rc=0 hits=0
BASE_DONE r=-3/2 s=-3/5 rc=0 hits=0
BASE_DONE r=3/2 s=5/1 rc=0 hits=0
BASE_DONE r=3/2 s=3/5 rc=0 hits=0
BASE_DONE r=-3/2 s=5/2 rc=0 hits=0
BASE_DONE r=3/2 s=-4/5 rc=0 hits=0
BASE_DONE r=-3/2 s=-5/3 rc=0 hits=0
BASE_DONE r=3/2 s=-3/5 rc=0 hits=0
BASE_DONE r=3/2 s=5/2 rc=0 hits=0
BASE_DONE r=3/2 s=5/3 rc=0 hits=0
BASE_DONE r=1/3 s=1/5 rc=0 hits=0
BASE_DONE r=3/2 s=-5/3 rc=0 hits=0
BASE_DONE r=3/2 s=-5/4 rc=0 hits=0
BASE_DONE r=1/3 s=-2/5 rc=0 hits=0
BASE_DONE r=-3/2 s=-5/1 rc=0 hits=0
BASE_DONE r=-3/2 s=3/5 rc=0 hits=0
BASE_DONE r=1/3 s=4/5 rc=0 hits=0
BASE_DONE r=-3/2 s=4/5 rc=0 hits=0
BASE_DONE r=-3/2 s=-4/5 rc=0 hits=0
BASE_DONE r=-3/2 s=-5/2 rc=0 hits=0
BASE_DONE r=1/3 s=-5/2 rc=0 hits=0
BASE_DONE r=-3/2 s=5/3 rc=0 hits=0
BASE_DONE r=-3/2 s=5/4 rc=0 hits=0
BASE_DONE r=-3/2 s=-5/4 rc=0 hits=0
BASE_DONE r=1/3 s=5/1 rc=0 hits=0
BASE_DONE r=1/3 s=5/4 rc=0 hits=0
BASE_DONE r=1/3 s=-5/1 rc=0 hits=0
BASE_DONE r=1/3 s=-1/5 rc=0 hits=0
BASE_DONE r=-1/3 s=1/5 rc=0 hits=0
BASE_DONE r=1/3 s=2/5 rc=0 hits=0
BASE_DONE r=1/3 s=3/5 rc=0 hits=0
BASE_DONE r=-1/3 s=-2/5 rc=0 hits=0
BASE_DONE r=1/3 s=-3/5 rc=0 hits=0
BASE_DONE r=1/3 s=-4/5 rc=0 hits=0
BASE_DONE r=1/3 s=5/3 rc=0 hits=0
BASE_DONE r=-1/3 s=4/5 rc=0 hits=0
BASE_DONE r=1/3 s=5/2 rc=0 hits=0
BASE_DONE r=1/3 s=-5/3 rc=0 hits=0
BASE_DONE r=-1/3 s=-5/2 rc=0 hits=0
BASE_DONE r=1/3 s=-5/4 rc=0 hits=0
BASE_DONE r=-1/3 s=-5/1 rc=0 hits=0
BASE_DONE r=-1/3 s=5/1 rc=0 hits=0
BASE_DONE r=-1/3 s=5/4 rc=0 hits=0
BASE_DONE r=-1/3 s=2/5 rc=0 hits=0
BASE_DONE r=-1/3 s=-1/5 rc=0 hits=0
BASE_DONE r=2/3 s=5/1 rc=0 hits=0
BASE_DONE r=-1/3 s=-3/5 rc=0 hits=0
BASE_DONE r=-1/3 s=3/5 rc=0 hits=0
BASE_DONE r=2/3 s=-2/5 rc=0 hits=0
BASE_DONE r=-1/3 s=5/2 rc=0 hits=0
BASE_DONE r=-1/3 s=-5/3 rc=0 hits=0
BASE_DONE r=-1/3 s=-4/5 rc=0 hits=0
BASE_DONE r=2/3 s=4/5 rc=0 hits=0
BASE_DONE r=-1/3 s=5/3 rc=0 hits=0
BASE_DONE r=2/3 s=2/5 rc=0 hits=0
BASE_DONE r=2/3 s=-5/2 rc=0 hits=0
BASE_DONE r=-1/3 s=-5/4 rc=0 hits=0
BASE_DONE r=2/3 s=-3/5 rc=0 hits=0
BASE_DONE r=2/3 s=5/4 rc=0 hits=0
BASE_DONE r=2/3 s=-5/1 rc=0 hits=0
