LIFTSCAN_SWEEP_START 2026-07-31 09:31:20 Hv=60
BASE_DONE m=1/2 n=3/1 rc=0 hits=0
BASE_DONE m=1/2 n=5/1 rc=0 hits=0
BASE_DONE m=1/2 n=1/2 rc=0 hits=0
BASE_DONE m=1/2 n=1/3 rc=0 hits=0
BASE_DONE m=1/2 n=2/5 rc=0 hits=0
BASE_DONE m=1/2 n=5/2 rc=0 hits=0
BASE_DONE m=1/3 n=1/1 rc=0 hits=0
BASE_DONE m=1/3 n=2/1 rc=0 hits=0
BASE_DONE m=1/3 n=3/1 rc=0 hits=0
BASE_DONE m=1/3 n=5/1 rc=0 hits=0
BASE_DONE m=1/3 n=1/2 rc=0 hits=0
BASE_DONE m=1/3 n=1/3 rc=0 hits=0
BASE_DONE m=1/3 n=2/5 rc=0 hits=0
BASE_DONE m=1/3 n=5/2 rc=0 hits=0
BASE_DONE m=2/3 n=1/1 rc=0 hits=0
BASE_DONE m=2/3 n=2/1 rc=0 hits=0
BASE_DONE m=2/3 n=3/1 rc=0 hits=0
BASE_DONE m=2/3 n=5/1 rc=0 hits=0
BASE_DONE m=2/3 n=1/2 rc=0 hits=0
BASE_DONE m=2/3 n=1/3 rc=0 hits=0
BASE_DONE m=2/3 n=2/5 rc=0 hits=0
BASE_DONE m=2/3 n=5/2 rc=0 hits=0
BASE_DONE m=3/2 n=1/1 rc=0 hits=0
BASE_DONE m=3/2 n=2/1 rc=0 hits=0
BASE_DONE m=3/2 n=3/1 rc=0 hits=0
BASE_DONE m=3/2 n=5/1 rc=0 hits=0
BASE_DONE m=3/2 n=1/2 rc=0 hits=0
BASE_DONE m=3/2 n=1/3 rc=0 hits=0
BASE_DONE m=3/2 n=2/5 rc=0 hits=0
BASE_DONE m=3/2 n=5/2 rc=0 hits=0
BASE_DONE m=5/2 n=1/1 rc=0 hits=0
BASE_DONE m=5/2 n=2/1 rc=0 hits=0
BASE_DONE m=5/2 n=3/1 rc=0 hits=0
BASE_DONE m=5/2 n=5/1 rc=0 hits=0
BASE_DONE m=5/2 n=1/2 rc=0 hits=0
BASE_DONE m=5/2 n=1/3 rc=0 hits=0
BASE_DONE m=5/2 n=2/5 rc=0 hits=0
BASE_DONE m=5/2 n=5/2 rc=0 hits=0
BASE_DONE m=2/5 n=1/1 rc=0 hits=0
BASE_DONE m=2/5 n=2/1 rc=0 hits=0
BASE_DONE m=2/5 n=3/1 rc=0 hits=0
BASE_DONE m=2/5 n=5/1 rc=0 hits=0
BASE_DONE m=2/5 n=1/2 rc=0 hits=0
BASE_DONE m=2/5 n=1/3 rc=0 hits=0
BASE_DONE m=2/5 n=2/5 rc=0 hits=0
BASE_DONE m=2/5 n=5/2 rc=0 hits=0
BASE_DONE m=4/3 n=1/1 rc=0 hits=0
BASE_DONE m=4/3 n=2/1 rc=0 hits=0
BASE_DONE m=4/3 n=3/1 rc=0 hits=0
BASE_DONE m=4/3 n=5/1 rc=0 hits=0
BASE_DONE m=4/3 n=1/2 rc=0 hits=0
BASE_DONE m=4/3 n=1/3 rc=0 hits=0
BASE_DONE m=4/3 n=2/5 rc=0 hits=0
BASE_DONE m=4/3 n=5/2 rc=0 hits=0
BASE_DONE m=3/4 n=1/1 rc=0 hits=0
BASE_DONE m=3/4 n=2/1 rc=0 hits=0
BASE_DONE m=3/4 n=3/1 rc=0 hits=0
BASE_DONE m=3/4 n=5/1 rc=0 hits=0
BASE_DONE m=3/4 n=1/2 rc=0 hits=0
BASE_DONE m=3/4 n=1/3 rc=0 hits=0
BASE_DONE m=3/4 n=2/5 rc=0 hits=0
BASE_DONE m=3/4 n=5/2 rc=0 hits=0
LIFTSCAN_SWEEP_DONE 2026-07-31 11:57:49
