family	n	d	parameter	status	jacobian_order
5	0	1	0	boundary	0
5	1	1	1	boundary	0
5	2	1	2	good_allowed	23040
5	3	1	3	good_allowed	26496
5	4	1	4	good_allowed	20736
5	5	1	5	boundary	0
5	6	1	6	good_allowed	26496
5	7	1	7	good_allowed	26496
5	8	1	8	good_allowed	26496
5	9	1	9	good_allowed	24192
5	10	1	10	good_allowed	23040
5	11	1	11	good_allowed	21888
5	12	1	12	good_allowed	26496
5	13	1	13	good_allowed	23040
5	14	1	14	good_allowed	25344
5	15	1	15	good_allowed	20736
5	16	1	16	good_allowed	24192
5	17	1	17	good_allowed	26496
5	18	1	18	good_allowed	24192
5	19	1	19	good_allowed	24192
5	20	1	20	good_allowed	20736
5	21	1	21	good_allowed	23040
5	22	1	22	good_allowed	24192
5	23	1	23	good_allowed	26496
5	24	1	24	good_allowed	25344
5	25	1	25	good_allowed	21888
5	26	1	26	good_allowed	21888
5	27	1	27	good_allowed	23040
5	28	1	28	good_allowed	24192
5	29	1	29	good_allowed	21888
5	30	1	30	good_allowed	20736
5	31	1	31	good_allowed	24192
5	32	1	32	good_allowed	25344
5	33	1	33	good_allowed	23040
5	34	1	34	good_allowed	25344
5	35	1	35	good_allowed	25344
5	36	1	36	good_allowed	24192
5	37	1	37	good_allowed	23040
5	38	1	38	boundary	0
5	39	1	39	good_allowed	25344
5	40	1	40	good_allowed	21888
5	41	1	41	good_allowed	20736
5	42	1	42	good_allowed	25344
5	43	1	43	good_allowed	23040
5	44	1	44	good_allowed	25344
5	45	1	45	good_allowed	21888
5	46	1	46	good_allowed	25344
5	47	1	47	good_allowed	21888
5	48	1	48	good_allowed	26496
5	49	1	49	good_allowed	23040
5	50	1	50	good_allowed	24192
5	51	1	51	good_allowed	24192
5	52	1	52	good_allowed	23040
5	53	1	53	good_allowed	21888
5	54	1	54	good_allowed	24192
5	55	1	55	good_allowed	23040
5	56	1	56	good_allowed	23040
5	57	1	57	good_allowed	21888
5	58	1	58	good_allowed	26496
5	59	1	59	good_allowed	24192
5	60	1	60	good_allowed	21888
5	61	1	61	good_allowed	23040
5	62	1	62	good_allowed	23040
5	63	1	63	good_allowed	25344
