prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	0	8	8	3	1
11	1	0	1	8	8	3	inf
11	1	0	2	8	8	3	inf
11	1	0	3	8	8	3	inf
11	1	0	4	8	8	3	inf
11	1	0	5	8	8	3	inf
11	1	0	6	8	8	3	inf
11	1	0	7	8	8	3	inf
11	1	1	0	8	8	3	inf
11	1	1	1	8	8	3	inf
11	1	1	2	8	8	3	inf
11	1	1	3	8	8	3	1
11	1	1	4	8	8	3	inf
11	1	1	5	8	8	3	inf
11	1	1	6	8	8	3	inf
11	1	1	7	8	8	3	inf
11	1	2	0	8	8	3	inf
11	1	2	1	8	8	3	inf
11	1	2	2	8	8	3	inf
11	1	2	3	8	8	3	inf
11	1	2	4	8	8	3	inf
11	1	2	5	8	8	3	inf
11	1	2	6	8	8	3	1
11	1	2	7	8	8	3	inf
11	1	3	0	8	8	3	inf
11	1	3	1	8	8	3	1
11	1	3	2	8	8	3	inf
11	1	3	3	8	8	3	inf
11	1	3	4	8	8	3	inf
11	1	3	5	8	8	3	inf
11	1	3	6	8	8	3	inf
11	1	3	7	8	8	3	inf
11	1	4	0	8	8	3	inf
11	1	4	1	8	8	3	inf
11	1	4	2	8	8	3	inf
11	1	4	3	8	8	3	inf
11	1	4	4	8	8	3	1
11	1	4	5	8	8	3	inf
11	1	4	6	8	8	3	inf
11	1	4	7	8	8	3	inf
11	1	5	0	8	8	3	inf
11	1	5	1	8	8	3	inf
11	1	5	2	8	8	3	inf
11	1	5	3	8	8	3	inf
11	1	5	4	8	8	3	inf
11	1	5	5	8	8	3	inf
11	1	5	6	8	8	3	inf
11	1	5	7	8	8	3	1
11	1	6	0	8	8	3	inf
11	1	6	1	8	8	3	inf
11	1	6	2	8	8	3	1
11	1	6	3	8	8	3	inf
11	1	6	4	8	8	3	inf
11	1	6	5	8	8	3	inf
11	1	6	6	8	8	3	inf
11	1	6	7	8	8	3	inf
11	1	7	0	8	8	3	inf
11	1	7	1	8	8	3	inf
11	1	7	2	8	8	3	inf
11	1	7	3	8	8	3	inf
11	1	7	4	8	8	3	inf
11	1	7	5	8	8	3	1
11	1	7	6	8	8	3	inf
11	1	7	7	8	8	3	inf
11	2	0	0	8	8	3	inf
11	2	0	1	8	8	3	inf
11	2	0	2	8	8	3	inf
11	2	0	3	8	8	3	inf
11	2	0	4	8	8	3	1
11	2	0	5	8	8	3	inf
11	2	0	6	8	8	3	inf
