p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	26	22	9	11	4	6	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	29	64	6	23	14	56	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	30	14	42	21	49	6	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	36	61	58	38	18	28	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	38	57	18	36	11	58	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	45	1	63	24	22	61	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	54	49	8	52	52	30	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	56	26	35	25	40	28	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	58	15	62	6	45	4	12	24	2
67	2	35	45	13	63	2	31	61	40	21	12	40	62	62	57	27	62	53	11	57	21	47	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	5	7	23	42	35	50	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	10	58	11	55	46	13	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	13	63	63	61	45	55	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	16	58	57	41	58	25	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	22	3	51	60	14	15	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	25	66	7	20	64	45	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	26	22	9	11	4	6	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	29	64	6	23	14	56	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	30	14	42	21	49	6	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	36	61	58	38	18	28	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	38	57	18	36	11	58	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	45	1	63	24	22	61	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	54	49	8	52	52	30	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	56	26	35	25	40	28	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	58	15	62	6	45	4	12	24	2
67	2	35	45	13	63	3	40	61	31	21	12	40	62	62	57	27	62	53	11	57	21	47	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	2	29	55	3	8	37	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	8	22	24	34	37	57	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	9	11	1	32	39	37	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	12	24	61	6	39	5	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	13	23	47	49	4	28	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	14	49	66	61	5	57	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	17	28	19	25	63	35	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	21	66	39	22	36	32	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	26	7	29	14	35	59	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	36	10	2	50	65	31	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	48	32	14	19	43	15	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	50	1	37	59	66	38	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	53	27	51	42	20	64	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	55	58	43	65	63	24	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	58	17	50	38	30	44	12	24	2
67	2	45	35	54	4	1	36	6	27	46	55	12	31	37	57	39	59	35	42	11	11	19	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	2	29	55	3	8	37	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	8	22	24	34	37	57	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	9	11	1	32	39	37	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	12	24	61	6	39	5	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	13	23	47	49	4	28	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	14	49	66	61	5	57	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	17	28	19	25	63	35	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	21	66	39	22	36	32	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	26	7	29	14	35	59	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	36	10	2	50	65	31	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	48	32	14	19	43	15	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	50	1	37	59	66	38	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	53	27	51	42	20	64	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	55	58	43	65	63	24	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	58	17	50	38	30	44	12	24	2
67	2	45	35	54	4	2	36	27	6	46	55	12	31	37	57	39	59	35	42	11	11	19	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	2	29	55	3	8	37	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	8	22	24	34	37	57	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	9	11	1	32	39	37	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	12	24	61	6	39	5	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	13	23	47	49	4	28	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	14	49	66	61	5	57	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	17	28	19	25	63	35	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	21	66	39	22	36	32	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	26	7	29	14	35	59	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	36	10	2	50	65	31	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	48	32	14	19	43	15	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	50	1	37	59	66	38	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	53	27	51	42	20	64	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	55	58	43	65	63	24	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	58	17	50	38	30	44	12	24	2
67	2	45	35	54	4	3	6	27	36	46	55	12	31	37	57	39	59	35	42	11	11	19	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	5	7	23	42	35	50	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	10	58	11	55	46	13	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	13	63	63	61	45	55	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	16	58	57	41	58	25	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	22	3	51	60	14	15	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	25	66	7	20	64	45	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	26	22	9	11	4	6	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	29	64	6	23	14	56	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	30	14	42	21	49	6	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	36	61	58	38	18	28	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	38	57	18	36	11	58	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	45	1	63	24	22	61	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	54	49	8	52	52	30	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	56	26	35	25	40	28	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	58	15	62	6	45	4	12	24	2
67	2	45	35	13	63	1	31	61	40	21	12	40	62	62	57	27	62	53	11	57	21	47	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	5	7	23	42	35	50	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	10	58	11	55	46	13	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	13	63	63	61	45	55	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	16	58	57	41	58	25	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	22	3	51	60	14	15	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	25	66	7	20	64	45	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	26	22	9	11	4	6	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	29	64	6	23	14	56	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	30	14	42	21	49	6	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	36	61	58	38	18	28	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	38	57	18	36	11	58	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	45	1	63	24	22	61	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	54	49	8	52	52	30	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	56	26	35	25	40	28	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	58	15	62	6	45	4	12	24	2
67	2	45	35	13	63	2	31	40	61	21	12	40	62	62	57	27	62	53	11	57	21	47	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	5	7	23	42	35	50	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	10	58	11	55	46	13	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	13	63	63	61	45	55	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	16	58	57	41	58	25	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	22	3	51	60	14	15	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	25	66	7	20	64	45	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	26	22	9	11	4	6	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	29	64	6	23	14	56	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	30	14	42	21	49	6	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	36	61	58	38	18	28	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	38	57	18	36	11	58	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	45	1	63	24	22	61	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	54	49	8	52	52	30	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	56	26	35	25	40	28	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	58	15	62	6	45	4	12	24	2
67	2	45	35	13	63	3	61	40	31	21	12	40	62	62	57	27	62	53	11	57	21	47	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	8	39	32	33	60	21	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	8	64	10	41	7	46	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	11	1	56	7	28	33	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	13	66	4	13	27	22	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	14	7	27	48	26	24	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	16	44	13	56	62	31	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	17	38	23	1	14	44	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	25	33	52	29	43	12	12	24	2
67	3	23	34	4	54	1	59	28	21	31	36	30	26	39	64	37	27	40	33	9	3	10	12	24	2
