prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	2	4	8	3	8
11	1	0	3	4	8	3	inf
11	1	0	6	4	8	3	3
11	1	0	7	4	8	3	3
11	1	2	2	4	8	3	3
11	1	2	3	4	8	3	3
11	1	2	6	4	8	3	8
11	1	2	7	4	8	3	inf
11	2	0	2	4	8	3	3
11	2	0	3	4	8	3	3
11	2	0	6	4	8	3	8
11	2	0	7	4	8	3	inf
11	2	2	2	4	8	3	8
11	2	2	3	4	8	3	inf
11	2	2	6	4	8	3	3
11	2	2	7	4	8	3	3
17	1	0	4	2	6	3	8
17	1	0	5	2	6	3	9
17	1	1	3	2	6	3	inf
17	1	1	4	2	6	3	9
17	1	1	5	2	6	3	8
17	2	0	3	2	6	3	inf
17	2	0	4	2	6	3	9
17	2	0	5	2	6	3	8
17	2	1	4	2	6	3	8
17	2	1	5	2	6	3	9
19	1	0	3	4	12	3	inf
19	1	1	0	4	12	3	inf
19	1	2	9	4	12	3	inf
19	1	3	6	4	12	3	inf
19	2	0	9	4	12	3	inf
19	2	1	6	4	12	3	inf
19	2	2	3	4	12	3	inf
19	2	3	0	4	12	3	inf
23	1	0	0	2	3	3	1
23	1	0	1	2	3	3	inf
23	1	0	2	2	3	3	inf
23	1	1	0	2	3	3	inf
23	1	1	1	2	3	3	inf
23	1	1	2	2	3	3	inf
23	2	0	0	2	3	3	inf
23	2	0	1	2	3	3	inf
23	2	0	2	2	3	3	inf
23	2	1	0	2	3	3	inf
23	2	1	1	2	3	3	inf
23	2	1	2	2	3	3	inf
29	1	0	0	14	7	2	1
29	1	0	1	14	7	3	0
29	1	0	2	14	7	2	28
29	1	1	1	14	7	2	28
29	1	1	2	14	7	3	0
29	1	1	3	14	7	2	1
29	1	1	6	14	7	3	inf
29	1	2	2	14	7	2	1
29	1	2	3	14	7	3	0
29	1	2	4	14	7	2	28
29	1	3	1	14	7	3	inf
29	1	3	3	14	7	2	28
29	1	3	4	14	7	3	0
29	1	3	5	14	7	2	1
29	1	4	4	14	7	2	1
29	1	4	5	14	7	3	0
29	1	4	6	14	7	2	28
29	1	5	0	14	7	2	1
29	1	5	3	14	7	3	inf
29	1	5	5	14	7	2	28
29	1	5	6	14	7	3	0
29	1	6	0	14	7	3	0
29	1	6	1	14	7	2	28
29	1	6	6	14	7	2	1
29	1	7	0	14	7	2	28
29	1	7	1	14	7	3	0
29	1	7	2	14	7	2	1
29	1	7	5	14	7	3	inf
29	1	8	1	14	7	2	1
29	1	8	2	14	7	3	0
29	1	8	3	14	7	2	28
29	1	9	0	14	7	3	inf
29	1	9	2	14	7	2	28
29	1	9	3	14	7	3	0
29	1	9	4	14	7	2	1
29	1	10	3	14	7	2	1
29	1	10	4	14	7	3	0
29	1	10	5	14	7	2	28
29	1	11	2	14	7	3	inf
29	1	11	4	14	7	2	28
29	1	11	5	14	7	3	0
29	1	11	6	14	7	2	1
29	1	12	0	14	7	2	28
29	1	12	5	14	7	2	1
29	1	12	6	14	7	3	0
29	1	13	0	14	7	3	0
29	1	13	1	14	7	2	1
29	1	13	4	14	7	3	inf
29	1	13	6	14	7	2	28
29	2	0	0	14	7	2	28
29	2	0	1	14	7	3	0
29	2	0	2	14	7	2	1
29	2	0	5	14	7	3	inf
29	2	1	1	14	7	2	1
29	2	1	2	14	7	3	0
29	2	1	3	14	7	2	28
29	2	2	0	14	7	3	inf
29	2	2	2	14	7	2	28
29	2	2	3	14	7	3	0
29	2	2	4	14	7	2	1
29	2	3	3	14	7	2	1
29	2	3	4	14	7	3	0
29	2	3	5	14	7	2	28
29	2	4	2	14	7	3	inf
29	2	4	4	14	7	2	28
29	2	4	5	14	7	3	0
29	2	4	6	14	7	2	1
29	2	5	0	14	7	2	28
29	2	5	5	14	7	2	1
29	2	5	6	14	7	3	0
29	2	6	0	14	7	3	0
29	2	6	1	14	7	2	1
29	2	6	4	14	7	3	inf
29	2	6	6	14	7	2	28
29	2	7	0	14	7	2	1
29	2	7	1	14	7	3	0
29	2	7	2	14	7	2	28
29	2	8	1	14	7	2	28
29	2	8	2	14	7	3	0
29	2	8	3	14	7	2	1
29	2	8	6	14	7	3	inf
29	2	9	2	14	7	2	1
29	2	9	3	14	7	3	0
29	2	9	4	14	7	2	28
29	2	10	1	14	7	3	inf
29	2	10	3	14	7	2	28
29	2	10	4	14	7	3	0
29	2	10	5	14	7	2	1
29	2	11	4	14	7	2	1
29	2	11	5	14	7	3	0
29	2	11	6	14	7	2	28
29	2	12	0	14	7	2	1
29	2	12	3	14	7	3	inf
29	2	12	5	14	7	2	28
29	2	12	6	14	7	3	0
29	2	13	0	14	7	3	0
29	2	13	1	14	7	2	28
29	2	13	6	14	7	2	1
31	1	0	0	12	4	2	1
31	1	0	2	12	4	2	30
31	1	2	1	12	4	2	30
31	1	2	3	12	4	2	1
31	1	3	0	12	4	2	2
31	1	3	2	12	4	2	29
31	1	4	3	12	4	3	inf
31	1	5	1	12	4	2	2
31	1	5	3	12	4	2	29
31	1	6	0	12	4	2	30
31	1	6	2	12	4	2	1
31	1	8	1	12	4	2	1
31	1	8	3	12	4	2	30
31	1	9	0	12	4	2	29
31	1	9	2	12	4	2	2
31	1	10	1	12	4	3	inf
31	1	11	1	12	4	2	29
31	1	11	3	12	4	2	2
31	2	0	0	12	4	2	30
31	2	0	2	12	4	2	1
31	2	2	1	12	4	2	1
31	2	2	3	12	4	2	30
31	2	3	0	12	4	2	29
31	2	3	2	12	4	2	2
31	2	4	1	12	4	3	inf
31	2	5	1	12	4	2	29
31	2	5	3	12	4	2	2
31	2	6	0	12	4	2	1
31	2	6	2	12	4	2	30
31	2	8	1	12	4	2	30
31	2	8	3	12	4	2	1
31	2	9	0	12	4	2	2
31	2	9	2	12	4	2	29
31	2	10	3	12	4	3	inf
31	2	11	1	12	4	2	2
31	2	11	3	12	4	2	29
37	1	0	0	4	8	3	1
37	1	0	1	4	8	3	36
37	1	1	2	4	8	3	1
37	1	1	3	4	8	3	36
37	1	2	4	4	8	3	1
37	1	2	5	4	8	3	36
37	1	3	6	4	8	3	1
37	1	3	7	4	8	3	36
37	2	0	0	4	8	3	36
37	2	0	1	4	8	3	1
37	2	0	7	4	8	3	inf
37	2	1	1	4	8	3	inf
37	2	1	2	4	8	3	36
37	2	1	3	4	8	3	1
37	2	2	3	4	8	3	inf
37	2	2	4	4	8	3	36
37	2	2	5	4	8	3	1
37	2	3	5	4	8	3	inf
37	2	3	6	4	8	3	36
37	2	3	7	4	8	3	1
41	1	0	0	52	13	2	1
41	1	0	2	52	13	2	1
41	1	0	5	52	13	2	33
41	1	0	7	52	13	2	13
41	1	0	8	52	13	2	13
41	1	0	10	52	13	2	33
41	1	0	11	52	13	3	inf
41	1	1	1	52	13	2	24
41	1	1	2	52	13	2	6
41	1	1	5	52	13	3	inf
41	1	1	8	52	13	2	35
41	1	1	9	52	13	2	17
41	1	1	11	52	13	2	32
41	1	1	12	52	13	2	9
41	1	2	0	52	13	2	8
41	1	2	2	52	13	2	28
41	1	2	3	52	13	2	28
41	1	2	5	52	13	2	8
41	1	2	8	52	13	2	40
41	1	2	10	52	13	2	40
41	1	3	0	52	13	3	inf
41	1	3	3	52	13	2	6
41	1	3	4	52	13	2	24
41	1	3	6	52	13	2	9
41	1	3	7	52	13	2	32
41	1	3	9	52	13	2	17
41	1	3	10	52	13	2	35
41	1	4	0	52	13	2	33
41	1	4	1	52	13	3	inf
41	1	4	3	52	13	2	1
41	1	4	5	52	13	2	1
41	1	4	8	52	13	2	33
41	1	4	10	52	13	2	13
41	1	4	11	52	13	2	13
41	1	5	1	52	13	2	32
41	1	5	2	52	13	2	9
41	1	5	4	52	13	2	24
41	1	5	5	52	13	2	6
41	1	5	8	52	13	3	inf
41	1	5	11	52	13	2	35
41	1	5	12	52	13	2	17
41	1	6	0	52	13	2	40
41	1	6	3	52	13	2	8
41	1	6	5	52	13	2	28
41	1	6	6	52	13	2	28
41	1	6	8	52	13	2	8
41	1	6	11	52	13	2	40
41	1	7	0	52	13	2	35
41	1	7	3	52	13	3	inf
41	1	7	6	52	13	2	6
41	1	7	7	52	13	2	24
41	1	7	9	52	13	2	9
41	1	7	10	52	13	2	32
41	1	7	12	52	13	2	17
41	1	8	0	52	13	2	13
41	1	8	1	52	13	2	13
41	1	8	3	52	13	2	33
41	1	8	4	52	13	3	inf
41	1	8	6	52	13	2	1
41	1	8	8	52	13	2	1
41	1	8	11	52	13	2	33
41	1	9	1	52	13	2	35
41	1	9	2	52	13	2	17
41	1	9	4	52	13	2	32
41	1	9	5	52	13	2	9
41	1	9	7	52	13	2	24
41	1	9	8	52	13	2	6
41	1	9	11	52	13	3	inf
41	1	10	1	52	13	2	40
41	1	10	3	52	13	2	40
41	1	10	6	52	13	2	8
41	1	10	8	52	13	2	28
41	1	10	9	52	13	2	28
41	1	10	11	52	13	2	8
41	1	11	0	52	13	2	32
41	1	11	2	52	13	2	17
41	1	11	3	52	13	2	35
41	1	11	6	52	13	3	inf
41	1	11	9	52	13	2	6
41	1	11	10	52	13	2	24
41	1	11	12	52	13	2	9
41	1	12	1	52	13	2	33
41	1	12	3	52	13	2	13
41	1	12	4	52	13	2	13
41	1	12	6	52	13	2	33
41	1	12	7	52	13	3	inf
41	1	12	9	52	13	2	1
41	1	12	11	52	13	2	1
41	1	13	1	52	13	3	inf
41	1	13	4	52	13	2	35
41	1	13	5	52	13	2	17
41	1	13	7	52	13	2	32
41	1	13	8	52	13	2	9
41	1	13	10	52	13	2	24
41	1	13	11	52	13	2	6
41	1	14	1	52	13	2	8
41	1	14	4	52	13	2	40
41	1	14	6	52	13	2	40
41	1	14	9	52	13	2	8
41	1	14	11	52	13	2	28
41	1	14	12	52	13	2	28
41	1	15	0	52	13	2	24
41	1	15	2	52	13	2	9
41	1	15	3	52	13	2	32
41	1	15	5	52	13	2	17
41	1	15	6	52	13	2	35
41	1	15	9	52	13	3	inf
41	1	15	12	52	13	2	6
41	1	16	1	52	13	2	1
41	1	16	4	52	13	2	33
41	1	16	6	52	13	2	13
41	1	16	7	52	13	2	13
41	1	16	9	52	13	2	33
41	1	16	10	52	13	3	inf
41	1	16	12	52	13	2	1
41	1	17	0	52	13	2	24
41	1	17	1	52	13	2	6
41	1	17	4	52	13	3	inf
41	1	17	7	52	13	2	35
41	1	17	8	52	13	2	17
41	1	17	10	52	13	2	32
41	1	17	11	52	13	2	9
41	1	18	1	52	13	2	28
41	1	18	2	52	13	2	28
41	1	18	4	52	13	2	8
41	1	18	7	52	13	2	40
41	1	18	9	52	13	2	40
41	1	18	12	52	13	2	8
41	1	19	2	52	13	2	6
41	1	19	3	52	13	2	24
41	1	19	5	52	13	2	9
41	1	19	6	52	13	2	32
41	1	19	8	52	13	2	17
41	1	19	9	52	13	2	35
41	1	19	12	52	13	3	inf
41	1	20	0	52	13	3	inf
41	1	20	2	52	13	2	1
41	1	20	4	52	13	2	1
41	1	20	7	52	13	2	33
41	1	20	9	52	13	2	13
41	1	20	10	52	13	2	13
41	1	20	12	52	13	2	33
41	1	21	0	52	13	2	32
41	1	21	1	52	13	2	9
41	1	21	3	52	13	2	24
41	1	21	4	52	13	2	6
41	1	21	7	52	13	3	inf
41	1	21	10	52	13	2	35
41	1	21	11	52	13	2	17
41	1	22	2	52	13	2	8
41	1	22	4	52	13	2	28
41	1	22	5	52	13	2	28
41	1	22	7	52	13	2	8
41	1	22	10	52	13	2	40
41	1	22	12	52	13	2	40
41	1	23	2	52	13	3	inf
41	1	23	5	52	13	2	6
41	1	23	6	52	13	2	24
41	1	23	8	52	13	2	9
41	1	23	9	52	13	2	32
41	1	23	11	52	13	2	17
41	1	23	12	52	13	2	35
41	1	24	0	52	13	2	13
41	1	24	2	52	13	2	33
41	1	24	3	52	13	3	inf
41	1	24	5	52	13	2	1
41	1	24	7	52	13	2	1
41	1	24	10	52	13	2	33
41	1	24	12	52	13	2	13
41	1	25	0	52	13	2	35
41	1	25	1	52	13	2	17
41	1	25	3	52	13	2	32
41	1	25	4	52	13	2	9
41	1	25	6	52	13	2	24
41	1	25	7	52	13	2	6
41	1	25	10	52	13	3	inf
41	1	26	0	52	13	2	40
41	1	26	2	52	13	2	40
41	1	26	5	52	13	2	8
41	1	26	7	52	13	2	28
41	1	26	8	52	13	2	28
41	1	26	10	52	13	2	8
41	1	27	1	52	13	2	17
41	1	27	2	52	13	2	35
41	1	27	5	52	13	3	inf
41	1	27	8	52	13	2	6
41	1	27	9	52	13	2	24
41	1	27	11	52	13	2	9
41	1	27	12	52	13	2	32
41	1	28	0	52	13	2	33
41	1	28	2	52	13	2	13
41	1	28	3	52	13	2	13
41	1	28	5	52	13	2	33
41	1	28	6	52	13	3	inf
41	1	28	8	52	13	2	1
41	1	28	10	52	13	2	1
41	1	29	0	52	13	3	inf
41	1	29	3	52	13	2	35
41	1	29	4	52	13	2	17
41	1	29	6	52	13	2	32
41	1	29	7	52	13	2	9
41	1	29	9	52	13	2	24
41	1	29	10	52	13	2	6
41	1	30	0	52	13	2	8
41	1	30	3	52	13	2	40
41	1	30	5	52	13	2	40
41	1	30	8	52	13	2	8
41	1	30	10	52	13	2	28
41	1	30	11	52	13	2	28
41	1	31	1	52	13	2	9
41	1	31	2	52	13	2	32
41	1	31	4	52	13	2	17
41	1	31	5	52	13	2	35
41	1	31	8	52	13	3	inf
41	1	31	11	52	13	2	6
41	1	31	12	52	13	2	24
41	1	32	0	52	13	2	1
41	1	32	3	52	13	2	33
41	1	32	5	52	13	2	13
41	1	32	6	52	13	2	13
41	1	32	8	52	13	2	33
41	1	32	9	52	13	3	inf
41	1	32	11	52	13	2	1
41	1	33	0	52	13	2	6
41	1	33	3	52	13	3	inf
41	1	33	6	52	13	2	35
41	1	33	7	52	13	2	17
41	1	33	9	52	13	2	32
41	1	33	10	52	13	2	9
41	1	33	12	52	13	2	24
41	1	34	0	52	13	2	28
41	1	34	1	52	13	2	28
41	1	34	3	52	13	2	8
41	1	34	6	52	13	2	40
41	1	34	8	52	13	2	40
41	1	34	11	52	13	2	8
41	1	35	1	52	13	2	6
41	1	35	2	52	13	2	24
41	1	35	4	52	13	2	9
41	1	35	5	52	13	2	32
41	1	35	7	52	13	2	17
41	1	35	8	52	13	2	35
41	1	35	11	52	13	3	inf
41	1	36	1	52	13	2	1
41	1	36	3	52	13	2	1
41	1	36	6	52	13	2	33
41	1	36	8	52	13	2	13
41	1	36	9	52	13	2	13
41	1	36	11	52	13	2	33
41	1	36	12	52	13	3	inf
41	1	37	0	52	13	2	9
41	1	37	2	52	13	2	24
41	1	37	3	52	13	2	6
41	1	37	6	52	13	3	inf
41	1	37	9	52	13	2	35
41	1	37	10	52	13	2	17
41	1	37	12	52	13	2	32
41	1	38	1	52	13	2	8
41	1	38	3	52	13	2	28
41	1	38	4	52	13	2	28
41	1	38	6	52	13	2	8
41	1	38	9	52	13	2	40
41	1	38	11	52	13	2	40
41	1	39	1	52	13	3	inf
41	1	39	4	52	13	2	6
41	1	39	5	52	13	2	24
41	1	39	7	52	13	2	9
41	1	39	8	52	13	2	32
41	1	39	10	52	13	2	17
41	1	39	11	52	13	2	35
41	1	40	1	52	13	2	33
41	1	40	2	52	13	3	inf
41	1	40	4	52	13	2	1
41	1	40	6	52	13	2	1
41	1	40	9	52	13	2	33
41	1	40	11	52	13	2	13
41	1	40	12	52	13	2	13
41	1	41	0	52	13	2	17
41	1	41	2	52	13	2	32
41	1	41	3	52	13	2	9
41	1	41	5	52	13	2	24
