fiber	n	d	status	jacobian_order
t1_2	0	1	boundary	0
t1_2	1	1	boundary	0
t1_2	2	1	good_allowed	17280
t1_2	3	1	good_allowed	20736
t1_2	4	1	good_allowed	18432
t1_2	5	1	good_allowed	16128
t1_2	6	1	good_allowed	19584
t1_2	7	1	good_allowed	18432
t1_2	8	1	good_allowed	17280
t1_2	9	1	good_allowed	16128
t1_2	10	1	good_allowed	20736
t1_2	11	1	good_allowed	19584
t1_2	12	1	good_allowed	20736
t1_2	13	1	good_allowed	18432
t1_2	14	1	good_allowed	17280
t1_2	15	1	good_allowed	18432
t1_2	16	1	good_allowed	17280
t1_2	17	1	good_allowed	18432
t1_2	18	1	good_allowed	17280
t1_2	19	1	good_allowed	19584
t1_2	20	1	good_allowed	19584
t1_2	21	1	good_allowed	18432
t1_2	22	1	good_allowed	17280
t1_2	23	1	good_allowed	19584
t1_2	24	1	good_allowed	16128
t1_2	25	1	good_allowed	16128
t1_2	26	1	good_allowed	19584
t1_2	27	1	good_allowed	19584
t1_2	28	1	good_allowed	16128
t1_2	29	1	good_allowed	19584
t1_2	30	1	boundary	0
t1_2	31	1	good_allowed	19584
t1_2	32	1	good_allowed	18432
t1_2	33	1	good_allowed	17280
t1_2	34	1	good_allowed	17280
t1_2	35	1	good_allowed	18432
t1_2	36	1	good_allowed	20736
t1_2	37	1	good_allowed	19584
t1_2	38	1	good_allowed	19584
t1_2	39	1	good_allowed	18432
t1_2	40	1	good_allowed	19584
t1_2	41	1	good_allowed	19584
t1_2	42	1	good_allowed	17280
t1_2	43	1	good_allowed	18432
t1_2	44	1	good_allowed	19584
t1_2	45	1	good_allowed	16128
t1_2	46	1	good_allowed	17280
t1_2	47	1	good_allowed	20736
t1_2	48	1	good_allowed	16128
t1_2	49	1	good_allowed	17280
t1_2	50	1	boundary	0
t1_2	51	1	good_allowed	16128
t1_2	52	1	good_allowed	17280
t1_2	53	1	good_allowed	20736
t1_2	54	1	good_allowed	19584
t1_2	55	1	good_allowed	16128
t1_2	56	1	good_allowed	20736
t1_2	57	1	good_allowed	18432
t1_2	58	1	good_allowed	17280
t1_2	59	1	good_allowed	16128
t1_2	60	1	good_allowed	20736
t1_2	61	1	good_allowed	16128
t1_2	62	1	good_allowed	17280
t1_2	63	1	good_allowed	19584
t1_2	64	1	good_allowed	17280
t1_2	65	1	good_allowed	18432
t1_2	66	1	good_allowed	16128
t1_2	67	1	good_allowed	19584
t1_2	68	1	good_allowed	18432
t1_2	69	1	good_allowed	19584
t1_2	70	1	good_allowed	17280
t1_2	71	1	good_allowed	17280
t1_2	72	1	boundary	0
t1_2	73	1	good_allowed	16128
t1_2	74	1	good_allowed	20736
t1_2	75	1	good_allowed	17280
t1_2	76	1	good_allowed	16128
t1_2	77	1	good_allowed	17280
t1_2	78	1	good_allowed	18432
t1_2	79	1	good_allowed	17280
t1_2	80	1	good_allowed	19584
t1_2	81	1	good_allowed	19584
t1_2	82	1	good_allowed	17280
t1_2	83	1	good_allowed	19584
t1_2	84	1	good_allowed	17280
t1_2	85	1	good_allowed	20736
t1_2	86	1	good_allowed	17280
t1_2	87	1	good_allowed	16128
t1_2	88	1	good_allowed	18432
t1_2	89	1	good_allowed	20736
t1_2	90	1	good_allowed	16128
t1_2	91	1	good_allowed	19584
t1_2	92	1	good_allowed	19584
t1_2	93	1	good_allowed	20736
t1_2	94	1	boundary	0
t1_2	95	1	good_allowed	17280
t1_2	96	1	good_allowed	17280
t1_2	97	1	good_allowed	16128
t1_2	98	1	good_allowed	18432
t1_2	99	1	good_allowed	18432
t1_2	100	1	good_allowed	20736
t1_2	101	1	good_allowed	19584
t1_2	102	1	good_allowed	16128
t1_2	103	1	good_allowed	19584
t1_2	104	1	good_allowed	19584
t1_2	105	1	good_allowed	17280
t1_2	106	1	good_allowed	19584
t1_2	107	1	good_allowed	19584
t1_2	108	1	good_allowed	19584
t1_2	109	1	good_allowed	18432
t1_2	110	1	good_allowed	17280
t1_2	111	1	good_allowed	20736
t1_2	112	1	good_allowed	17280
t1_2	113	1	good_allowed	16128
t1_2	114	1	good_allowed	18432
t1_2	115	1	good_allowed	20736
t1_2	116	1	good_allowed	19584
t1_2	117	1	good_allowed	19584
t1_2	118	1	good_allowed	17280
t1_2	119	1	good_allowed	20736
t1_2	120	1	good_allowed	17280
t1_2	121	1	good_allowed	18432
t1_2	122	1	good_allowed	16128
t1_2	123	1	good_allowed	17280
t1_2	124	1	good_allowed	17280
t1_2	125	1	good_allowed	19584
t1_2	126	1	boundary	0
t1_2	1	0	boundary	0
t2_3	0	1	boundary	0
t2_3	1	1	boundary	0
t2_3	2	1	good_allowed	13440
t2_3	6	1	good_allowed	13440
t2_3	8	1	good_allowed	13440
t2_3	11	1	boundary	0
