prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
29	2	0	0	8	8	2	28
29	2	0	2	8	8	3	22
29	2	0	4	8	8	2	1
29	2	0	6	8	8	3	7
29	2	1	0	8	8	2	28
29	2	1	2	8	8	3	inf
29	2	1	4	8	8	2	1
29	2	1	6	8	8	3	22
29	2	2	0	8	8	3	22
29	2	2	2	8	8	2	1
29	2	2	4	8	8	3	7
29	2	2	6	8	8	2	28
29	2	3	0	8	8	3	inf
29	2	3	2	8	8	2	1
29	2	3	4	8	8	3	22
29	2	3	6	8	8	2	28
29	2	4	0	8	8	2	1
29	2	4	2	8	8	3	7
29	2	4	4	8	8	2	28
29	2	4	6	8	8	3	22
29	2	5	0	8	8	2	1
29	2	5	2	8	8	3	22
29	2	5	4	8	8	2	28
29	2	5	6	8	8	3	inf
29	2	6	0	8	8	3	7
29	2	6	2	8	8	2	28
29	2	6	4	8	8	3	22
29	2	6	6	8	8	2	1
29	2	7	0	8	8	3	22
29	2	7	2	8	8	2	28
29	2	7	4	8	8	3	inf
29	2	7	6	8	8	2	1
31	1	0	0	8	16	2	1
31	1	0	1	8	16	3	15
31	1	0	4	8	16	3	0
31	1	0	7	8	16	3	16
31	1	0	8	8	16	2	30
31	1	0	10	8	16	2	12
31	1	0	12	8	16	3	inf
31	1	0	14	8	16	2	19
31	1	1	1	8	16	3	16
31	1	1	2	8	16	2	30
31	1	1	4	8	16	2	12
31	1	1	6	8	16	3	inf
31	1	1	8	8	16	2	19
31	1	1	10	8	16	2	1
31	1	1	11	8	16	3	15
31	1	1	14	8	16	3	0
31	1	2	0	8	16	3	inf
31	1	2	2	8	16	2	19
31	1	2	4	8	16	2	1
31	1	2	5	8	16	3	15
31	1	2	8	8	16	3	0
31	1	2	11	8	16	3	16
31	1	2	12	8	16	2	30
31	1	2	14	8	16	2	12
31	1	3	2	8	16	3	0
31	1	3	5	8	16	3	16
31	1	3	6	8	16	2	30
31	1	3	8	8	16	2	12
31	1	3	10	8	16	3	inf
31	1	3	12	8	16	2	19
31	1	3	14	8	16	2	1
31	1	3	15	8	16	3	15
31	1	4	0	8	16	2	30
31	1	4	2	8	16	2	12
31	1	4	4	8	16	3	inf
31	1	4	6	8	16	2	19
31	1	4	8	8	16	2	1
31	1	4	9	8	16	3	15
31	1	4	12	8	16	3	0
31	1	4	15	8	16	3	16
31	1	5	0	8	16	2	19
