BASE (-2,3/2) s=219/256 t=-5/4 rankbounds [1,1]
BASE (-2,3/2) zvals=12
MEMBER (-2,3/2) v=-65536/27225 tors=[ 4, 4 ] D1=-13138584879 a=119 order4=12 norm111=12 xTpass=0
  D4 above=T2 pat=111 lam=[ -991959631687295514438, -991959631687295514438, 47139591762658743418, -30863984130941997 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ -5411958279, 1574846 ] compat=false
  D4 above=T2 pat=111 lam=[ -991959631687295514438, -991959631687295514438, 47139591762658743418, -30863984130941997 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ -5411958279, 1574846 ] compat=false
  D4 above=T1 pat=111 lam=[ 25231310451661227882937114808242, 25231310451661227882937114808242, 508250045587537977388404763936880022933692802, 3493026710360914783069159293953 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 3324861361904306809470249, 91402486994 ] compat=false
  D4 above=T3 pat=111 lam=[ 10275343785125335850147698, 10275343785125335850147698, 330153417365947084675203175122, 21068004452694136118258 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 108232895706369, 6906641 ] compat=false
  D4 above=T1 pat=111 lam=[ 62653173979429145338408032953678, 62653173979429145338408032953678, 61841038776821030959749742829074517978783761182, 425012062702700218041362433299023 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 3324861361904306809470249, 91402486994 ] compat=false
  D4 above=T3 pat=111 lam=[ 1453240209454992206807695608964738, 1453240209454992206807695608964738, 46693544414515959446622519493622291682, 25039029091731287699782828942 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 108232895706369, 58039 ] compat=false
  D4 above=T2 pat=111 lam=[ 991959631687295514438, 991959631687295514438, 2408175589238519719638, 74955390032287707 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 30719508521, 13234 ] compat=false
  D4 above=T2 pat=111 lam=[ 991959631687295514438, 991959631687295514438, 2408175589238519719638, 74955390032287707 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 30719508521, 13234 ] compat=false
  D4 above=T1 pat=111 lam=[ 25231310451661227882937114808242, 25231310451661227882937114808242, 508250045587537977388404763936880022933692802, 3493026710360914783069159293953 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 3324861361904306809470249, 91402486994 ] compat=false
  D4 above=T3 pat=111 lam=[ 1453240209454992206807695608964738, 1453240209454992206807695608964738, 46693544414515959446622519493622291682, 25039029091731287699782828942 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 108232895706369, 58039 ] compat=false
  D4 above=T1 pat=111 lam=[ 62653173979429145338408032953678, 62653173979429145338408032953678, 61841038776821030959749742829074517978783761182, 425012062702700218041362433299023 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 3324861361904306809470249, 91402486994 ] compat=false
  D4 above=T3 pat=111 lam=[ 10275343785125335850147698, 10275343785125335850147698, 330153417365947084675203175122, 21068004452694136118258 ] d=[ 1, 1, -13138584879, 119 ] lam2ok=true def=[ 108232895706369, 6906641 ] compat=false
MEMBER (-2,3/2) v=-7891124224/1705681719 tors=[ 4, 4 ] D1=-506121685482062 a=119 order4=12 norm111=12 xTpass=0
  D4 above=T3 pat=111 lam=[ 20206099594359361463179485750427552837384419312925340170, 20206099594359361463179485750427552837384419312925340170, 16870045499633806577802535430172746069648278369547336505597403, 15549441485519179810158405581960262035815461418 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 1629772511400579668539680190, 375548072785 ] compat=false
  D4 above=T3 pat=111 lam=[ 20206099594359361463179485750427552837384419312925340170, 20206099594359361463179485750427552837384419312925340170, 16870045499633806577802535430172746069648278369547336505597403, 15549441485519179810158405581960262035815461418 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 1629772511400579668539680190, 375548072785 ] compat=false
  D4 above=T1 pat=111 lam=[ 17479258650356670777418390333313077712472091147752422291, 17479258650356670777418390333313077712472091147752422291, 1942771826173431758449745567309475968897973369715571074769266699296380790257, 34178596443749642562327584588581988988281408055252978191 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 2169661645218295949275316666048833148707, 38170200325304760541 ] compat=false
  D4 above=T2 pat=111 lam=[ -79875564588948414620242000358295, -79875564588948414620242000358295, 303671380218883367925976006867293, -68977884308114712917563437 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ -1331189445144314915, 302374993235 ] compat=false
  D4 above=T1 pat=111 lam=[ 17487166699327550428306350389498543218887389623108511341, 17487166699327550428306350389498543218887389623108511341, 1943650784202942425847362418307199046358628772896863093887049202297058414607, 34194059686204012328736770740474392140288659706946912241 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 2169661645218295949275316666048833148707, 38170200325304760541 ] compat=false
  D4 above=T2 pat=111 lam=[ 79875564588948414620242000358295, 79875564588948414620242000358295, 30368897173915913664907215126, 167517719033992874228368347 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 133126656023530, 734339269285 ] compat=false
  D4 above=T3 pat=111 lam=[ 656259439324522185690001173298715819458871659978068170, 656259439324522185690001173298715819458871659978068170, 547910127299353885555087620904641225990514081816609012052603, 207949072140032497536519450048939178756291078 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 1629772511400579668539680190, 154637441735 ] compat=false
  D4 above=T3 pat=111 lam=[ 656259439324522185690001173298715819458871659978068170, 656259439324522185690001173298715819458871659978068170, 547910127299353885555087620904641225990514081816609012052603, 207949072140032497536519450048939178756291078 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 1629772511400579668539680190, 154637441735 ] compat=false
  D4 above=T1 pat=111 lam=[ 17479258650356670777418390333313077712472091147752422291, 17479258650356670777418390333313077712472091147752422291, 1942771826173431758449745567309475968897973369715571074769266699296380790257, 34178596443749642562327584588581988988281408055252978191 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 2169661645218295949275316666048833148707, 38170200325304760541 ] compat=false
  D4 above=T2 pat=111 lam=[ 79875564588948414620242000358295, 79875564588948414620242000358295, 30368897173915913664907215126, 167517719033992874228368347 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 133126656023530, 734339269285 ] compat=false
  D4 above=T1 pat=111 lam=[ 17487166699327550428306350389498543218887389623108511341, 17487166699327550428306350389498543218887389623108511341, 1943650784202942425847362418307199046358628772896863093887049202297058414607, 34194059686204012328736770740474392140288659706946912241 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 2169661645218295949275316666048833148707, 38170200325304760541 ] compat=false
  D4 above=T2 pat=111 lam=[ -79875564588948414620242000358295, -79875564588948414620242000358295, 303671380218883367925976006867293, -68977884308114712917563437 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ -1331189445144314915, 302374993235 ] compat=false
MEMBER (-2,3/2) v=-3681091584/768636929 tors=[ 4, 4 ] D1=-506121685482062 a=119 order4=12 norm111=12 xTpass=0
  D4 above=T3 pat=111 lam=[ 20206099594359361463179485750427552837384419312925340170, 20206099594359361463179485750427552837384419312925340170, 16870045499633806577802535430172746069648278369547336505597403, 15549441485519179810158405581960262035815461418 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 1629772511400579668539680190, 375548072785 ] compat=false
  D4 above=T3 pat=111 lam=[ 20206099594359361463179485750427552837384419312925340170, 20206099594359361463179485750427552837384419312925340170, 16870045499633806577802535430172746069648278369547336505597403, 15549441485519179810158405581960262035815461418 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 1629772511400579668539680190, 375548072785 ] compat=false
  D4 above=T1 pat=111 lam=[ 17479258650356670777418390333313077712472091147752422291, 17479258650356670777418390333313077712472091147752422291, 1942771826173431758449745567309475968897973369715571074769266699296380790257, 34178596443749642562327584588581988988281408055252978191 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 2169661645218295949275316666048833148707, 38170200325304760541 ] compat=false
  D4 above=T2 pat=111 lam=[ -79875564588948414620242000358295, -79875564588948414620242000358295, 303671380218883367925976006867293, -68977884308114712917563437 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ -1331189445144314915, 302374993235 ] compat=false
  D4 above=T1 pat=111 lam=[ 17487166699327550428306350389498543218887389623108511341, 17487166699327550428306350389498543218887389623108511341, 1943650784202942425847362418307199046358628772896863093887049202297058414607, 34194059686204012328736770740474392140288659706946912241 ] d=[ 1, 1, -506121685482062, 119 ] lam2ok=true def=[ 2169661645218295949275316666048833148707, 38170200325304760541 ] compat=false
